a a l e n d	VERB type=participle tense=present
r e n o v i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
r e n o v i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
r e n t i e r e n	NOUN case=dative number=plural
r e n t i e r e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
r e n t i e r e s	NOUN case=genitive number=singular
r e n t i e r	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
r e p l i k e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
r e p l i k	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
r e p o r t e n	NOUN case=dative number=plural
r e p o r t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
r e p o r t e s	NOUN case=genitive number=singular
r e p o r t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
r e p r a e s e n t i e r e n d	VERB type=participle tense=present
r e p r a e s e n t i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
r e p r a e s e n t i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
r e p r a e s e n t i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
r e p r a e s e n t i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
r e p r a e s e n t i e r s t	VERB person=2nd number=singular tense=present mood=indicative
r e p r a e s e n t i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
r e p r a e s e n t i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
r e p r a e s e n t i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
r e p r a e s e n t i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
r e p r a e s e n t i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
r e p u b l i k e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
r e p u b l i k f l u e c h t l i n g e n	NOUN case=dative number=plural
r e p u b l i k f l u e c h t l i n g e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
r e p u b l i k f l u e c h t l i n g	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
r e p u b l i k f l u e c h t l i n g s	NOUN case=genitive number=singular
r e p u b l i k	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
r e q u i e m	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
r e q u i e m s	NOUN case=nominative number=plural ; NOUN case=genitive number=singular ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
r e s e r v i e r e n d	VERB type=participle tense=present
r e s e r v i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
r e s e r v i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
r e s e r v i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
r e s e r v i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
r e s e r v i e r s t	VERB person=2nd number=singular tense=present mood=indicative
r e s e r v i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
r e s e r v i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
r e s e r v i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
r e s e r v i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
r e s e r v i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
r e s p e k t i e r e n d	VERB type=participle tense=present
r e s p e k t i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
r e s p e k t i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
r e s p e k t i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
r e s p e k t i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
r e s p e k t i e r s t	VERB person=2nd number=singular tense=present mood=indicative
r e s p e k t i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
r e s p e k t i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
r e s p e k t i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
r e s p e k t i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
r e s p e k t i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
r e s t a u r i e r e n d	VERB type=participle tense=present
r e s t a u r i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
r e s t a u r i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
r e s t a u r i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
r e s t a u r i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
r e s t a u r i e r s t	VERB person=2nd number=singular tense=present mood=indicative
r e s t a u r i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
r e s t a u r i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
r e s t a u r i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
r e s t a u r i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
r e s t a u r i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
r e s u l t a t e n	NOUN case=dative number=plural
r e s u l t a t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
r e s u l t a t e s	NOUN case=genitive number=singular
r e s u l t a t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
r e t t e n d	VERB type=participle tense=present
r e t t e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
r e t t e s t	VERB person=2nd number=singular tense=present mood=indicative ; VERB person=2nd number=singular tense=present mood=subjunctive
r e t t e t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
r e t t e t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
r e t t e t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
r e t t e t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
r e t t e t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=subjunctive
